Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,269.20,NA,346.11,70.76,305.94,NA,16.88,2.22,21.21,4.01,3.01,1.97,NA,1.98,3.15,NA,92.28,0.75,201.85,0.00,0.00,26.55,722.40,-0.09
2022-01-01 01:00:00,295.80,NA,188.92,58.07,173.53,NA,15.57,1.47,62.39,4.01,2.98,2.00,NA,2.02,2.98,NA,92.15,0.64,190.02,0.00,0.00,26.55,721.78,-0.09
2022-01-01 02:00:00,279.52,NA,233.19,45.33,202.29,NA,18.98,1.90,8.98,3.99,2.98,2.05,NA,2.12,2.94,NA,92.13,0.79,181.92,0.00,0.00,26.55,721.97,-0.09
2022-01-01 03:00:00,252.35,NA,167.72,46.35,150.44,NA,10.58,1.28,5.71,3.97,2.98,2.00,NA,2.02,2.90,NA,92.09,0.82,187.30,0.00,0.00,26.55,719.70,-0.09
2022-01-01 04:00:00,212.05,NA,114.69,45.33,107.49,NA,8.38,1.29,22.10,4.02,3.03,2.06,NA,1.95,2.81,NA,92.14,0.80,190.93,0.00,0.00,26.55,719.38,-0.09
2022-01-01 05:00:00,181.60,NA,130.17,41.42,117.82,NA,4.28,1.43,16.23,3.98,3.00,1.98,NA,1.94,2.99,NA,92.16,0.88,182.84,0.00,0.00,26.55,720.25,-0.09
2022-01-01 06:00:00,176.25,NA,156.66,37.73,137.08,NA,4.12,1.61,25.35,3.95,2.96,1.99,NA,1.96,3.03,NA,92.14,0.80,205.43,0.00,0.00,26.55,719.68,-0.09
2022-01-01 07:00:00,194.73,NA,180.00,39.94,156.90,NA,17.62,1.58,20.54,3.99,2.98,1.99,NA,2.09,2.80,NA,92.09,0.88,190.96,0.00,0.00,38.41,720.62,-0.09
2022-01-01 08:00:00,199.58,NA,124.88,56.68,121.59,NA,21.52,1.87,91.72,4.04,3.06,2.03,NA,1.97,2.97,NA,92.22,0.68,185.38,0.00,0.00,88.97,721.60,-0.09
2022-01-01 09:00:00,228.20,NA,20.51,65.62,42.77,NA,24.54,1.08,183.01,4.04,3.06,1.97,NA,1.99,2.97,NA,92.19,0.71,275.31,0.05,0.20,207.82,718.58,-0.07
2022-01-01 10:00:00,206.62,NA,21.56,107.85,65.71,NA,30.90,1.35,68.42,4.11,3.03,2.05,NA,1.99,3.05,NA,84.48,0.84,286.96,0.00,0.00,308.42,722.20,-0.04
2022-01-01 11:00:00,193.32,NA,15.10,67.54,39.44,NA,5.02,1.48,50.56,4.08,3.04,2.01,NA,1.99,3.06,NA,77.45,0.74,307.26,0.00,0.00,189.59,720.22,-0.02
2022-01-01 12:00:00,186.05,NA,13.04,50.11,28.67,NA,0.22,1.20,59.52,4.02,2.97,2.04,NA,2.01,2.95,NA,70.44,1.01,336.35,0.00,0.00,203.95,722.90,0.02
2022-01-01 13:00:00,198.15,NA,12.00,35.71,20.29,NA,NA,1.36,44.90,4.03,2.98,2.04,NA,2.03,2.85,NA,65.90,0.76,258.30,0.00,0.00,170.36,724.35,0.02
2022-01-01 14:00:00,183.12,NA,11.64,35.68,19.99,NA,NA,1.10,69.92,3.94,3.02,1.95,NA,1.94,3.04,NA,60.20,0.54,192.52,0.00,0.00,150.66,722.47,-0.02
2022-01-01 15:00:00,159.33,NA,11.40,32.74,18.26,NA,5.10,1.12,62.17,4.05,2.96,1.92,NA,2.07,2.99,NA,59.90,0.49,215.96,0.00,0.00,110.39,720.80,-0.08
2022-01-01 16:00:00,140.40,NA,11.05,38.15,21.14,NA,0.39,1.15,83.86,4.04,2.81,1.97,NA,2.06,2.93,NA,66.14,0.23,220.29,0.00,0.00,76.76,719.27,-0.09
2022-01-01 17:00:00,146.93,NA,12.02,55.21,30.52,NA,NA,1.26,78.42,3.97,3.02,2.01,NA,2.04,3.01,NA,78.64,0.74,198.09,0.00,0.00,33.15,720.65,-0.09
2022-01-01 18:00:00,162.80,NA,25.58,108.52,69.28,NA,NA,2.65,61.37,4.00,2.99,2.04,NA,2.00,3.02,NA,91.85,0.74,175.45,0.00,0.00,26.88,721.02,-0.09
2022-01-01 19:00:00,228.87,NA,76.61,110.21,107.80,NA,18.42,2.88,115.80,4.00,2.94,1.96,NA,2.12,2.93,NA,92.74,0.69,196.21,0.00,0.00,26.65,724.00,-0.09
2022-01-01 20:00:00,274.75,NA,141.02,94.12,154.10,NA,28.53,2.58,138.48,3.96,2.97,2.03,NA,2.03,2.93,NA,92.60,0.68,198.97,0.00,0.00,26.60,722.90,-0.09
2022-01-01 21:00:00,297.78,NA,183.90,77.15,179.51,NA,37.70,2.46,23.46,4.01,3.00,2.03,NA,2.04,2.97,NA,92.52,0.63,162.01,0.00,0.00,26.48,721.92,-0.09
2022-01-01 22:00:00,307.27,NA,229.50,73.05,213.84,NA,47.74,2.39,12.58,4.00,3.00,2.04,NA,1.97,3.05,NA,92.42,0.62,192.86,0.00,0.00,26.55,721.92,-0.09
2022-01-01 23:00:00,302.10,NA,239.09,56.90,213.06,NA,15.21,2.15,63.80,4.02,2.93,1.96,NA,2.05,3.07,NA,92.30,0.75,178.68,0.00,0.00,26.55,722.40,-0.09
2022-01-02 00:00:00,304.12,NA,282.22,57.41,247.83,NA,21.38,2.07,0.82,4.09,3.07,1.98,NA,2.01,2.99,NA,92.35,0.80,197.74,0.00,0.00,26.58,720.50,-0.09
2022-01-02 01:00:00,325.35,NA,185.82,44.82,164.11,NA,23.26,1.50,62.87,3.98,2.92,2.03,NA,2.00,3.03,NA,92.32,0.87,198.75,0.00,0.00,26.55,720.02,-0.09
2022-01-02 02:00:00,319.08,NA,228.36,38.53,194.86,NA,27.71,1.90,63.86,4.08,3.01,2.00,NA,1.97,3.10,NA,92.38,0.82,202.57,0.00,0.00,26.55,719.60,-0.09
2022-01-02 03:00:00,295.32,NA,180.06,44.14,159.16,NA,13.01,1.55,85.63,4.07,2.85,2.05,NA,2.00,3.00,NA,92.36,0.80,212.08,0.00,0.00,26.52,718.95,-0.09
2022-01-02 04:00:00,277.42,NA,47.72,48.90,55.78,NA,12.42,1.15,5.78,3.95,3.02,1.95,NA,1.98,3.00,NA,92.35,0.70,203.69,0.00,0.00,26.55,718.75,-0.09
2022-01-02 05:00:00,238.98,NA,12.64,42.99,24.62,NA,34.48,0.74,3.00,4.08,3.02,2.04,NA,1.94,3.04,NA,92.35,0.74,187.98,0.00,0.00,26.55,719.00,-0.09
2022-01-02 06:00:00,205.05,NA,35.55,40.51,41.65,NA,36.11,1.23,2.99,3.92,3.03,1.97,NA,2.01,2.99,NA,92.32,0.86,203.82,0.00,0.00,26.52,719.00,-0.09
2022-01-02 07:00:00,198.78,NA,117.04,42.83,108.06,NA,3.09,1.67,45.28,3.97,2.89,2.06,NA,1.94,2.90,NA,92.32,0.86,204.88,0.00,0.00,35.80,718.38,-0.09
2022-01-02 08:00:00,199.10,NA,61.61,52.59,68.83,NA,0.09,1.38,20.63,4.05,3.04,2.02,NA,1.98,2.97,NA,92.43,0.72,191.50,0.00,0.00,80.45,720.25,-0.08
2022-01-02 09:00:00,215.08,NA,22.74,51.53,37.17,NA,0.15,1.36,17.26,4.00,3.02,1.97,NA,1.98,3.09,NA,92.75,0.50,240.67,0.00,0.00,200.41,717.47,-0.08
2022-01-02 10:00:00,222.50,NA,28.60,138.23,87.25,NA,0.68,1.71,20.20,4.01,2.93,2.02,NA,2.09,2.96,NA,91.29,0.45,226.55,0.00,0.00,315.39,721.18,-0.08
2022-01-02 11:00:00,232.32,NA,15.72,81.09,47.03,NA,5.40,1.47,30.37,4.09,3.07,1.98,NA,2.00,3.00,NA,82.30,0.64,289.88,0.00,0.00,196.56,722.47,-0.04
2022-01-02 12:00:00,211.18,NA,13.23,44.92,26.10,NA,0.42,1.10,40.17,4.05,2.98,2.01,NA,2.04,2.88,NA,69.10,0.88,321.19,0.00,0.00,176.29,719.58,0.01
2022-01-02 13:00:00,205.52,NA,11.73,33.34,18.84,NA,NA,1.21,68.68,3.94,2.88,1.98,NA,2.08,2.99,NA,60.98,0.99,302.75,0.00,0.00,164.31,725.15,0.02
2022-01-02 14:00:00,176.47,NA,11.34,29.20,16.36,NA,NA,0.92,46.45,4.02,2.99,2.02,NA,1.96,2.96,NA,58.07,0.76,292.65,0.00,0.00,143.25,723.55,-0.01
2022-01-02 15:00:00,151.70,NA,11.45,29.52,16.62,NA,NA,1.06,28.81,3.99,2.97,2.03,NA,1.89,2.90,NA,54.96,0.70,348.21,0.00,0.00,115.51,728.00,-0.02
2022-01-02 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 20:00:00,270.85,NA,84.95,91.98,108.12,NA,21.98,2.50,29.09,3.98,2.74,2.05,NA,1.98,3.14,NA,92.78,0.95,189.50,0.00,0.00,26.55,717.40,-0.09
2022-01-02 21:00:00,247.05,NA,140.10,80.10,146.02,NA,27.11,2.73,31.50,3.96,2.90,2.01,NA,2.01,2.80,NA,92.58,0.74,179.94,0.00,0.00,26.55,717.90,-0.09
2022-01-02 22:00:00,278.25,NA,144.23,66.86,142.39,NA,32.60,2.52,31.44,4.00,3.06,1.96,NA,2.00,3.05,NA,92.43,0.40,209.94,0.00,0.00,26.55,717.42,-0.09
2022-01-02 23:00:00,257.10,NA,117.10,58.89,116.51,NA,9.27,2.77,20.62,4.04,3.09,2.01,NA,1.98,3.02,NA,92.52,0.75,173.76,0.00,0.00,27.08,718.83,-0.09
2022-01-03 00:00:00,253.05,NA,263.78,63.44,236.24,NA,15.96,2.01,41.20,3.99,3.03,2.04,NA,2.02,2.91,NA,92.43,0.71,198.54,0.00,0.00,26.30,717.35,-0.09
2022-01-03 01:00:00,274.10,NA,128.53,59.50,125.98,NA,16.72,0.92,29.69,4.07,3.04,2.03,NA,2.00,3.02,NA,92.36,0.64,197.90,0.00,0.00,26.50,717.38,-0.09
2022-01-03 02:00:00,229.60,NA,140.00,48.59,129.44,NA,19.14,1.72,8.05,3.98,3.10,2.03,NA,2.01,3.00,NA,92.27,0.52,214.41,0.00,0.00,26.34,717.42,-0.09
2022-01-03 03:00:00,213.52,NA,192.40,42.93,168.39,NA,13.94,1.60,13.55,3.99,2.94,2.01,NA,1.97,2.92,NA,92.30,0.76,191.35,0.00,0.00,26.55,718.72,-0.09
2022-01-03 04:00:00,187.88,NA,107.01,49.84,103.70,NA,10.62,1.29,11.29,3.94,3.00,2.00,NA,2.07,3.05,NA,92.28,0.80,188.29,0.00,0.00,26.50,717.68,-0.09
2022-01-03 05:00:00,181.58,NA,84.88,49.37,85.76,NA,6.42,1.16,7.26,4.06,2.90,1.98,NA,1.88,3.05,NA,92.31,0.88,189.53,0.00,0.00,27.18,718.95,-0.09
2022-01-03 06:00:00,184.68,NA,62.34,49.09,67.58,NA,3.81,1.20,6.48,4.02,2.91,2.04,NA,1.98,3.04,NA,92.29,0.76,184.03,0.00,0.00,26.60,717.92,-0.09
