Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Month,Date,Festival,Festival_Name
2019-10-17 23:00:00,117.8818181818182,212.3755,7.1890909090909085,33.58909090909091,23.813636363636363,53.513,10.279545454545454,1.1031818181818185,19.578181818181815,4.1033333333333335,8.678333333333335,1.085,3.39,2.0525,2.742,24.675714285714285,70.68555555555555,0.689,145.94,0.0,0.0,10.65,810.5085714285715,,10,17,True,Karva Chauth
2019-10-18 00:00:00,117.3818181818182,199.664,10.04181818181818,32.63,25.85181818181818,54.9015,7.698181818181819,1.044090909090909,18.552727272727275,4.057777777777778,8.357222222222223,1.1225,3.38,2.04,2.736,24.02642857142857,72.72444444444444,0.7035,149.56666666666666,0.0,0.0,10.7,810.4442857142857,,10,18,False,
2019-10-18 01:00:00,117.075,190.8415,9.84318181818182,30.65136363636364,24.835454545454542,56.948,8.751818181818182,1.044090909090909,17.811818181818182,3.918333333333333,8.843333333333334,0.95375,3.37,2.00125,2.784,23.55071428571429,74.00277777777778,0.6805000000000001,146.5938888888889,0.0,0.0,10.532857142857145,810.4264285714286,,10,18,False,
2019-10-18 02:00:00,122.13045454545454,190.511,18.92772727272727,28.98636363636364,31.50090909090909,59.4875,6.744999999999999,1.0077272727272726,19.4545,3.927222222222223,9.468333333333334,1.01,3.36,2.03375,2.792,23.165,75.255,0.724,150.92055555555555,0.0,0.0,10.436428571428571,810.4300000000001,,10,18,False,
2019-10-18 03:00:00,120.10909090909092,180.0325,10.92590909090909,29.44590909090909,24.74818181818182,60.12050000000001,6.84909090909091,0.9963636363636362,22.663636363636364,3.792777777777778,8.556666666666667,0.91125,3.36,2.02875,3.305,22.755,76.20666666666666,0.7895,146.0311111111111,0.0,0.0,10.449285714285711,810.4228571428572,,10,18,False,
2019-10-18 04:00:00,113.16545454545454,166.7395,7.765454545454546,28.9,21.988636363636363,60.5955,6.805454545454546,0.9504545454545454,19.552727272727275,3.5744444444444445,8.169444444444444,0.7775,3.35,1.9375,2.592,22.425,77.20222222222222,0.9915,138.4988888888889,0.0,0.0,10.478571428571428,810.4328571428571,,10,18,False,
2019-10-18 05:00:00,111.0675,166.86833333333334,7.375909090909091,29.061818181818182,21.680000000000003,58.7225,6.969090909090909,0.915,17.37590909090909,3.415,9.40222222222222,0.64875,3.39,1.8975,3.095,22.047142857142852,78.32055555555556,0.8705,143.29833333333332,0.0,0.0,10.474285714285712,810.4799999999999,,10,18,False,
2019-10-18 06:00:00,111.8805,172.19722222222222,8.581363636363637,30.63090909090909,23.783636363636365,57.593,8.210454545454546,0.9868181818181818,12.964090909090912,3.4833333333333334,9.7,0.67125,3.47,1.94375,2.588,21.76214285714286,78.70777777777778,0.9395,144.89833333333334,0.0,0.0,13.6345,810.7364285714285,,10,18,False,
2019-10-18 07:00:00,112.37272727272726,184.889,17.562272727272727,34.89454545454546,33.15409090909091,62.682,7.746666666666666,1.7740909090909092,16.670454545454547,3.5411111111111118,10.754444444444443,0.75375,2.67,1.8075,2.598,22.775,76.78388888888888,1.1665,137.94722222222222,0.0,0.0,68.3135,810.9342857142857,,10,18,False,
2019-10-18 08:00:00,116.91090909090909,217.249,11.642272727272728,32.49090909090909,26.939545454545456,60.529500000000006,9.02909090909091,1.0863636363636362,19.858636363636364,3.6327777777777777,11.268333333333333,0.7225,3.62,2.0525,2.8080000000000003,25.108571428571427,71.05444444444444,1.28,149.82611111111112,0.0,0.0,168.237,811.2357142857143,,10,18,False,
